OBJECTID,FISCAL_YEAR_COMPLETE,PROJECT_NAME,DEVELOPER_NAME,ADDRESS,PROJECT_TYPE,TOTAL_UNITS,ACCESSIBLE_UNITS,SENSORY_UNITS,VISITABLE_UNITS
1,2019,Gloria Casarez Residence (1315 N 8th),Project HOME,1315 N 8TH ST,Special Needs,30,4,2,30
2,2019,Roberto Clemente Homes,Nueva Esperanza,3921-61 N 5TH ST,Rental,38,6,2,38
3,2019,Henry Avenue Senior Campus I,NewCourtland Elder Services,3232 HENRY AVE,Rental,49,6,2,49
4,2019,Villas Del Caribe,HACE,161-71 W ALLEGHENY AVE,Rental,81,10,2,60
5,2019,Cantrell Place,Presby's Inspired Life,447 CANTRELL ST,Rental,61,8,4,61
6,2019,Ann Thomas Presbyterian,Presby's Inspired Life,2000 S 58TH ST,Rental,75,75,3,75
7,2018,APM Preservation,APM,2011-25 N MARSHALL ST,Rental,80,8,4,13
8,2018,The Lofts at 2601,Volunteers of America,2601 N BROAD ST,Special Needs,56,6,2,14
9,2018,Anthony Wayne III,Elon Group,1701 S 28TH ST,Rental,45,6,2,45
10,2018,Centennial Village,Community Ventures,1702 N 52nd St,Rental,52,9,3,52
11,2018,Ruth Williams House,Project HOME,2413-29 N BROAD ST,Special Needs,88,10,4,88
12,2018,Tioga Family,Gaudenzia Foundation,1822-26 W TIOGA ST,Special Needs,24,,,
13,2017,Mt. Vernon Manor II,Mt. Vernon Manor CDC,3202 MANTUA AVE,Rental,46,6,2,4
14,2017,NewCourtland at Allegheny II,NewCourtland Elder Services,1900 W ALLEGHENY AVE,Rental,45,7,2,45
15,2017,Wynn Senior Residences,Pennrose,2001-11 N 54TH ST,Rental,50,6,2,50
16,2017,Orinoka Mills,New Kensington CDC,2721-69 RUTH ST,Rental,51,,,
17,2017,Lindley Court,WES Corp,1300 W LINDLEY AVE,Rental,48,5,,
18,2017,Blumberg Apartments I,Phila Housing Authority,1500-02 N 24TH ST,Rental,57,6,0,
19,2016,St. Raymond's House,Depaul USA,1330 VERNON RD,Special Needs,28,2,2,28
20,2016,Tajdeed,Arab American Dev Corp,246-66 W OXFORD ST,Rental,45,5,2,35
21,2016,NewCourtland at Allegheny,NewCourtland Elder Services,1900 W ALLEGHENY AVE,Rental,60,6,2,60
22,2016,Nativity BVM Senior,Catholic Health Care Services,3255 BELGRADE ST,Rental,63,6,3,63
23,2016,Ingersoll Commons Homeownership,Community Ventures,1301 N SMEDLEY ST,Homeownership,10,,,
24,2016,Tasker Village Energy,Diversified Community Services,1508 S 16TH ST,Rental,28,,,
25,2016,Mt. Airy Corridor Mixed Use,Mt. Airy CDC,6513 GERMANTOWN AVE,Rental,3,,,
26,2016,Winghocking Street,Nicetown CDC,2006 W WINGOHOCKING ST,Homeownership,2,,,
27,2015,Anthony Wayne Senior II,Elon Group,1701 S 28TH ST,Rental,46,6,3,
28,2015,Bigham Place,PEC,4226-32 POWELTON AVE,Special Needs,11,2,1,
29,2015,Cross/Greenwich - Habitat,Habitat for Humanity,2325 CROSS ST,Homeownership,6,,,
30,2015,HELP Philadelphia IV,HELP USA,7100 GROVERS AVE,Rental,60,8,2,
31,2015,Latona Green,Innova Redevelopment,1231 S 17TH ST,Homeownership,10,,,
32,2015,Allegheny West Preservation,Allegheny West Foundation,2804 N BAMBREY,Rental,32,,,
33,2015,Fairthorne Senior,Intercommunity Action,6761-63 RIDGE AVE,Rental,40,4,2,
34,2015,Wynnefield Place,Presby's Inspired Life,1717-25 N 54TH ST,Rental,48,5,2,
35,2014,Mt. Vernon Manor,Mt. Vernon Manor CDC,3228-30 WALLACE ST,Rental,75,8,,8
36,2014,North Phila Complete Blocks - Gratz,Habitat for Humanity,1815 N GRATZ ST,Homeownership,1,,,
37,2014,North Phila Complete Blocks - Morse,Habitat for Humanity,1900 MORSE ST,Homeownership,1,,,
38,2014,Fattah Homes II,PEC,3811-13 HAVERFORD AVE,Special Needs,6,,,
39,2014,Walnut Park Plaza,Walnut Park Plaza LLC,6232-50 WALNUT ST,Rental,224,,,
40,2014,Beaumont Initiative,The Beaumont Initiative,5015 BEAUMONT ST,Homeownership,2,,,
41,2014,Liberty at Disston,Liberty Housing Dev Corp,4800-04 DISSTON ST,Special Needs,5,,,
42,2014,Liberty at Welsh Road,Liberty Housing Dev Corp,2628 WELSH RD,Special Needs,2,,,
43,2014,Nicetown Court II,Nicetown CDC,4428-70 GERMANTOWN AVE,Rental,50,,,
44,2014,Paseo Verde,APM,1900 N 9TH ST,Rental,53,,,
45,2014,Preservation Projects,Project HOME,1515-21 FAIRMOUNT AVE,Special Needs,112,,,
46,2014,Tillmon Villanueva Townhomes,WCRP,701-17 W SOMERSET ST,Special Needs,77,,,
47,2014,Paseo Verde NMTC,APM,1900 N 9TH ST,Rental,67,,,
48,2014,JBJ Soul Homes,Project HOME,1415 FAIRMOUNT AVE,Special Needs,55,,,
49,2014,John Anderson/William Way Senior,Pennrose,249-57 S 13TH ST,Rental,56,,,
50,2014,Merrick Hall Renovations,Northern Children Services,5301 RIDGE AVE,Special Needs,12,,,
51,2014,North Phila Complete Blocks - Wilt,Habitat for Humanity,1905 W WILT ST,Homeownership,2,,,
52,2014,Nugent Senior Center,Nolan Properties,221 W JOHNSON ST,Rental,57,,,
53,2014,Lehigh Park I Repairs,HACE,2600-20 N LAWRENCE ST,Rental,48,,,
54,2014,Sartain Apartments,NewCourtland Elder Services,3017-45 W OXFORD ST,Rental,35,,,
55,2014,Queen and McKeen,Habitat for Humanity,424 W QUEEN LN,Homeownership,4,,,
56,2014,Hope Haven Preservation (Preservation Projects) - remove,Project HOME,1515 FAIRMOUNT AVE,Special Needs,36,,,
57,2013,Community Ventures - Point Breeze Scattered,Community Ventures,1310 S 16TH ST,Homeownership,8,1,,1
58,2013,North Star Point Breeze,North Star,1415 S 20TH ST,Homeownership,6,1,,1
59,2013,Forgotten Blocks III,Allegheny West Foundation,2722 N GARNET ST,Homeownership,5,,,
60,2013,Roxborough Redevelopment,Octavia Hill,376-86 DUPONT ST,Rental,6,,,
61,2013,WPRE III,WPRE,117 N 50TH ST,Rental,60,,,
62,2013,Gaudenzia Thompson Street Apts,Gaudenzia Foundation,1815 W THOMPSON ST,Rental,6,,,
63,2013,LCIP III,Liberty Housing Dev Corp,5526 VINE ST,Special Needs,14,,,
64,2013,St. Maron Hall,Ingerman,921-31 ELLSWORTH ST,Rental,64,,,
65,2013,Eli Apartments,Iron Stone Capital Partners,1418 CONLYN ST,Rental,88,,,
66,2013,Sojourner House,Women Against Abuse,6027-33 GERMANTOWN AVE,Special Needs,15,,,
67,2013,3909 Haverford Rehab,PEC,3909 HAVERFORD AVE,Rental,6,,,
68,2013,Homeownership Rehabilitation Program,Various,Scattered,Homeownership,,,,
69,2012,4200 Stiles,Habitat for Humanity,4211 W STILES ST,Homeownership,2,,,
70,2012,Pilgrim Gardens Senior,Pilgrim Gardens,7023 RISING SUN AVE,Rental,62,,,
71,2012,Sheridan Street,Pradera Corporation,1807 N SHERIDAN ST,Homeownership,13,,,
72,2012,Gloria's Place/3902 Spring Garden,PEC,3902 SPRING GARDEN ST,Special Needs,11,,,
73,2012,Apartments at Cliveden,NewCourtland Elder Services,315 W JOHNSON ST,Rental,62,,,
74,2012,Chandler Supported Living 811,11260 Housing Development Corporation,419 CHANDLER ST,Special Needs,6,,,
75,2012,Jannie's Place,PEC,3902-14 SPRING GARDEN ST,Special Needs,29,,,
76,2012,Latona Street Project,Habitat for Humanity,2240 LATONA ST,Homeownership,4,,,
77,2012,Nicetown Court,Nicetown CDC,4330-50 GERMANTOWN AVE,Rental,37,,,
78,2012,Ogden Gardens,Autism Living and Working,4033 OGDEN ST,Special Needs,4,,,
79,2012,Strawberry Mansion I,Friends Rehabilitation Program,1900 N 31ST ST,Homeownership,25,,,
80,2012,WPRE II,WPRE,673 N 37TH ST,Rental,40,,,
81,2012,Lehigh Park II Repairs,HACE,2622 N LAWRENCE ST,Rental,28,,,
82,2012,Patriot House,Catch,1221-25 S 15TH ST,Special Needs,15,,,
83,2012,Belfield Avenue Townhomes,Raise of Hope,1735 BELFIELD AVE,Special Needs,3,,,
84,2012,17th & Federal,Community Ventures,1220 S 17TH ST,Homeownership,11,,,
85,2012,Homeownership Rehabilitation Program,Various,Scattered,Homeownership,9,,,
86,2012,James Widener Ray/2101 Venango,Project HOME,2101 W VENANGO ST,Special Needs,53,,,
87,2012,Point Breeze Homeownership,Cashel,1215 S 27TH ST,Homeownership,5,,,
88,2012,Shelton Court,Gaudenzia Foundation,6433 N BROAD ST,Special Needs,20,,,
89,2011,Cecil B. Moore III-3,HERB CDC,1900 HARLAN ST,Homeownership,33,,,
90,2011,Diamond Street Initiative,Pennrose,3113 DIAMOND ST,Rental,49,,,
91,2011,Hancock Manor,Impact Services Corp,164-76 W ALLEGHENY AVE,Special Needs,45,,,
92,2011,My Place in Germantown,Community Ventures,209 E PRICE ST,Special Needs,12,,,
93,2011,Osun Village Senior,"Odunde, Universal",2308 GRAYS FERRY AVE,Rental,16,,,
94,2011,St. John the Evangelist House,Project HOME,1212 LUDLOW ST,Special Needs,79,,,
95,2011,Casa Farnese 202,Casa Farnese,1300-28 LOMBARD ST,Rental,288,,,
96,2011,Presser Senior,Philadelphia Preservation,101 W JOHNSON ST,Rental,45,,,
97,2011,Evelyn Saunders Townhouses II,WCRP,3029 N PERCY ST,Special Needs,31,,,
98,2011,Francisville East,Community Ventures,1500 POPLAR ST,Rental,44,,,
99,2011,HELP Philadelphia,HELP USA,6100 EASTWICK AVE,Special Needs,63,,,
100,2011,Lawrence Court,HACE,3301 N LAWRENCE ST,Homeownership,50,,,
101,2011,Rites of Passage,Covenant House,2625 KENSINGTON AVE,Special Needs,10,,,
102,2011,Strawberry Mansion 32nd & CBM,Community Ventures,1631 N 32ND ST,Homeownership,11,,,
103,2011,Homeownership Rehabilitation Program,Various,Scattered,Homeownership,8,,,
104,2011,Pennsdale II Rent Reserve,Intercommunity Action,4200 MITCHELL ST,Rental,10,,,
105,2010,Gaudenzia - Venango Place,Gaudenzia Foundation,2100 W VENANGO ST,Special Needs,21,,,
106,2010,Union Hill Homes,Homeownership Developers LP,3901 ASPEN ST,Homeownership,51,,,
107,2010,Cecil B. Moore III-2,HERB CDC,1704 N 19TH ST,Homeownership,54,,,
108,2010,Life Center,HACE,3240 N HANCOCK ST,Rental,0,,,
109,2010,LCIP III 811,Liberty Housing Dev Corp,1100 S BROAD ST,Rental,11,,,
110,2010,Pennsdale II,Intercommunity Action,4200 MITCHELL ST,Rental,38,,,
111,2010,Spring Garden II,Michaels Development,1602 MOUNT VERNON ST,Rental,58,,,
112,2010,4008 Haverford,"PEC, MASCO",4008 HAVERFORD AVE,Homeownership,1,,,
113,2010,Haven Peniel Senior 202,Haven Peniel Dev Corp,1615 N 23RD ST,Rental,55,,,
114,2010,Ivy Residence II,Salvation Army,4050 CONSHOHOCKEN AVE,Rental,53,,,
115,2010,Bernice Elza Homes,PEC,3803 BRANDYWINE ST,Special Needs,6,,,
116,2010,Dual Diagnosis Program,Impact Services Corp,118-60 E INDIANA AVE,Special Needs,8,,,
117,2010,Fattah Homes I,PEC,4017 LANCASTER AVE,Special Needs,6,,,
118,2010,Forgotten Blocks II,Allegheny West Foundation,1923 W SOMERSET ST,Homeownership,15,,,
119,2010,Homeownership Rehabilitation Program,Various,Scattered,Homeownership,26,,,
120,2010,Norris Street,PHDC,1601 W NORRIS ST,Homeownership,7,,,
121,2010,Temple I Preservation,11260 Housing Development Corporation,1700-04 N 16TH ST,Rental,58,,,
122,2009,Booth Manor II 202,Salvation Army,5522 ARCH ST,Rental,50,,,
123,2009,Lehigh Mixed Use,Allegheny West Foundation,1927 W LEHIGH AVE,Rental,5,,,
124,2009,Ludlow Village V/Pradera III,APM,1500 N FRANKLIN ST,Homeownership,25,,,
125,2009,Mt. Tabor Senior Cyber Village,Mt. Tabor CEED,973 N 7TH ST,Rental,56,,,
126,2009,Reba Brown Senior 202,Mt. Zion Dev Corp,1450 S 50TH ST,Rental,75,,,
127,2009,Evelyn Saunders Townhouses,WCRP,3009 N PERCY ST,Special Needs,49,,,
128,2009,Hunter School,"Norris Square, OKKS",2315 N HOWARD ST,Homeownership,50,,,
129,2009,Northern Home for Children,Generations,5301 RIDGE AVE,Special Needs,8,,,
130,2009,Twin Homes at Frankford Creek,Impact Services Corp,1501 E CAYUGA ST,Homeownership,50,,,
131,2009,Mantua Presbyterian 202,Presbyterian,600-18 N 34TH ST,Rental,65,,,
132,2009,Liberty Community Integration Program,Liberty Resources,7600 E ROOSEVELT BLVD,Rental,5,,,
133,2009,Paschall Senior 202,Food for Life,6901 WOODLAND AVE,Rental,63,,,
134,2009,St. Elizabeth Recovery Residence,Project HOME,1850 N CROSKEY ST,Special Needs,24,,,
135,2009,Homeownership Rehabilitation Program,Various,Scattered,Homeownership,30,,,
136,2008,Melon SIL 811,Columbus Property Mgmt,3616-28 MELON ST,Rental,10,,,
137,2008,Cross/Greenwich - UCH,Universal Community Homes,2300 CROSS ST,Homeownership,9,,,
138,2008,Project Restoration,Women of Excellence,2850 N 9TH ST,Special Needs,14,,,
139,2008,St. Elizabeth V,Project HOME,1852 N 23RD ST,Homeownership,15,,,
140,2008,Fresh Start,Methodist Services,4300 MONUMENT RD,Special Needs,11,,,
141,2008,Inglis Housing/Elmwood,Inglis House Corp,6200 EASTWICK AVE,Special Needs,40,,,
142,2008,Reunification House,Impact Services Corp,190 W ALLEGHENY AVE,Special Needs,2,,,
143,2008,Angela Court II,St. Ignatius Nursing Home,4400-58 FAIRMOUNT AVE,Rental,54,,,
144,2008,Dewey Street,"PCAH, ACHIEVEablity",132 N 61ST ST,Homeownership,10,,,
145,2008,Inglis Gardens Germantown 811,Inglis House Corp,332-34 E WALNUT LN,Rental,15,,,
146,2008,Ludlow Village VI,Phila Housing Authority,1504 N 8TH ST,Homeownership,54,,,
147,2008,St. John Neumann's Place,Catholic Social Services,2600 MOORE ST,Rental,75,,,
148,2008,Casa Farnese 202,Casa Farnese,1300-28 LOMBARD ST,Rental,288,,,
149,2008,Brewerytown Homestart,PHDC,1423 N 30TH ST,Homeownership,5,,,
150,2008,Homeownership Rehabilitation Program,Various,Scattered,Homeownership,14,,,
151,2007,Montana Street,Mt. Airy CDC,251 MONTANA ST,Homeownership,11,,,
152,2007,Phillip Murray House II 202,Phillip Murray II Inc.,6300 OLD YORK RD,Rental,70,,,
153,2007,Reinhard Street,Resources for Human Development,4700 REINHARD ST,Homeownership,15,,,
154,2007,FOP Senior Citizens,FOP Senior Citizens,730 BYBERRY RD,Rental,,,,
155,2007,111 W Erie,Impact Services Corp,111 W ERIE AVE,Special Needs,0,,,
156,2007,Cottage/New Courtland 811,Germantown Homes Corp,6950 GERMANTOWN AVE,Rental,18,,,
157,2007,Imani Homes V,PEC,3844 HAVERFORD AVE,Special Needs,11,,,
158,2007,Inglis Gardens Washington 811,Inglis House Corp,1200-06 E WASHINGTON LN,Rental,15,,,
159,2007,Powelton Heights,11260 Housing Development Corporation,4113-43 WARREN ST,Special Needs,48,,,
160,2007,Sharswood II,Michaels Development,"vic. Nassau, 21st, Harlan, 22nd",Rental,60,,,
161,2007,Cloisters III,PEC,3812-14 HAVERFORD AVE,Special Needs,50,,,
162,2007,Susquehanna Village,Community Ventures,1421 W SUSQUEHANNA AVE,Rental,50,,,
163,2007,Yorktown Arms II ,Yorktown CDC,1400 N 13TH ST,Rental,37,,,
164,2007,Cecil B. Moore III-1,HERB CDC,1501 N UBER ST,Homeownership,64,,,
165,2007,Cecil Housing,ACHIEVEability,106 N DEWEY ST,Special Needs,11,,,
166,2007,Keystone Housing,Keystone Hospice,"8765 Stenton Avenue, Glenside, PA",Special Needs,19,,,
167,2007,Mantua 811,11260 Housing Development Corporation,3613-19 FAIRMOUNT AVE,Rental,10,,,
168,2007,Pradera II,APM,1800 N 7TH ST,Homeownership,53,,,
169,2007,The Commons at Point Breeze,Universal Community Homes,1134 S 15TH ST,Rental,55,,,
170,2007,New Kensington,New Kensington CDC,2045 E DAUPHIN ST,Homeownership,8,,,
171,2007,Homeownership Rehabilitation Program,Various,Scattered,Homeownership,53,,,
172,2006,Imani Homes IV,PEC,4042 GREEN ST,Special Needs,8,,,
173,2006,Center Park III Elderly,Jewish Federation,10102 JAMISON AVE,Rental,39,,,
174,2006,Coral Street Apts,New Kensington CDC,2446-68 CORAL ST,Rental,27,,,
175,2006,Vernon House,Pennrose,3226 CLIFFORD ST,Rental,68,,,
176,2006,Carroll Park,Phila NHS,1313 N 59TH ST,Homeownership,7,,,
177,2006,Mascher Street Townhouses,WCRP,2742-70 MASCHER ST,Special Needs,12,,,
178,2006,Neuman North Senior,Dale Corporation,1601 E PALMER ST,Rental,67,,,
179,2006,Respite II,Catch,1208-12 S 15TH ST,Special Needs,16,,,
180,2006,Simpson Senior Services,"Simpson Senior Services, Inc.",1001-11 GREEN ST,Rental,40,,,
181,2006,Gaudenzia - Tioga Arms,Gaudenzia Foundation,1828-30 W TIOGA ST,Special Needs,30,,,
182,2006,Neumann Senior Housing,NCC Neumann Senior Housing Corp,1741 FRANKFORD AVE,Rental,70,,,
183,2006,Parkside I,Community Ventures,5152 PARKSIDE AVE,Homeownership,19,,,
184,2006,Home in Belmont,Friends Rehabilitation Program,4020 PARRISH ST,Homeownership,8,,,
185,2006,New Courtland 202,Germantown Homes Corp,6950 GERMANTOWN AVE,Rental,60,,,
186,2006,Parkside II,Community Ventures,5130 VIOLA ST,Homeownership,7,,,
187,2006,Brewerytown Homestart,PHDC,1728 N 28TH ST,Homeownership,11,,,
188,2006,Brewerytown Homestart,PHDC,1343 N 28TH ST,Homeownership,4,,,
189,2006,Homeownership Rehabilitation Program,Various,Scattered,Homeownership,29,,,
190,2006,Homeownership Rehabilitation Program - Mole Street,"Universal Community Homes, YouthBuild",1141 S MOLE ST,Homeownership,4,,,
191,2006,Homeownership Rehabilitation Project - Southwest Renewal,PHDC,2043 S CECIL ST,Homeownership,9,,,
192,2006,South Lehigh Homestart,PHDC,2302 W CUMBERLAND ST,Homeownership,10,,,
193,2005,16th & Federal/Commons at Point Breeze II,Universal Community Homes,1133 S 16TH ST,Homeownership,18,,,
